blocker_id,blocker_category,blocker_reason,branch_logic_row_number,basin_index,from_raw_id,from_swmm_id,from_expected_source_type,from_expected_hydrology_column,from_match_found,from_hydrology_cell_if_found,from_hydrology_row_if_found,to_raw_id,to_swmm_id,to_expected_source_type,to_expected_hydrology_column,to_match_found,to_hydrology_cell_if_found,to_hydrology_row_if_found,branch_logic_directions_raw,branch_logic_notes_raw,final_interpretation,suggested_user_action
BLK-16-IN_76_5-J_71_1-3,TRUE_MISSING_SOURCE,missing_junction_source,16,1,IN76.5,IN_76_5,inlet,C,true,C201,201,J71.1,J_71_1,junction,B,false,,,"IN76.5 RIGHT, J71 LEFT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-16-J_71-J_71_1-1,TRUE_MISSING_SOURCE,missing_junction_source,16,1,J71,J_71,junction,B,true,B200,200,J71.1,J_71_1,junction,B,false,,,"IN76.5 RIGHT, J71 LEFT",,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-16-J_71-J_71_1-2,TRUE_MISSING_SOURCE,missing_junction_source,16,1,J71,J_71,junction,B,true,B200,200,J71.1,J_71_1,junction,B,false,,,"IN76.5 RIGHT, J71 LEFT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-16-J_71-J_71_1-3,TRUE_MISSING_SOURCE,missing_junction_source,16,1,J71,J_71,junction,B,true,B200,200,J71.1,J_71_1,junction,B,false,,,"IN76.5 RIGHT, J71 LEFT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-18-J_70_3-J_70_4-1,TRUE_MISSING_SOURCE,missing_junction_source,18,1,J70.3,J_70_3,junction,B,true,B197,197,J70.4,J_70_4,junction,B,false,,,"IN76.43 LEFT, J70.3 RIGHT",,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-18-J_70_3-J_70_4-2,TRUE_MISSING_SOURCE,missing_junction_source,18,1,J70.3,J_70_3,junction,B,true,B197,197,J70.4,J_70_4,junction,B,false,,,"IN76.43 LEFT, J70.3 RIGHT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-18-J_70_3-J_70_4-3,TRUE_MISSING_SOURCE,missing_junction_source,18,1,J70.3,J_70_3,junction,B,true,B197,197,J70.4,J_70_4,junction,B,false,,,"IN76.43 LEFT, J70.3 RIGHT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-21-IN_76_3-J_70_1-1,TRUE_MISSING_SOURCE,missing_junction_source,21,1,IN76.3,IN_76_3,inlet,C,true,C192,192,J70.1,J_70_1,junction,B,false,,,IN76.3 TOP,,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-21-IN_76_3-J_70_1-2,TRUE_MISSING_SOURCE,missing_junction_source,21,1,IN76.3,IN_76_3,inlet,C,true,C192,192,J70.1,J_70_1,junction,B,false,,,IN76.3 TOP,,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-22-IN_76_1-J_70-1,TRUE_MISSING_SOURCE,missing_inlet_source,22,1,IN76.1,IN_76_1,inlet,C,false,,,J70,J_70,junction,B,true,B188,188,"IN76 TOP, IN76.1 LEFT, IN76.2 RIGHT",,FROM_NODE_MISSING_IN_HYDROLOGY,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-22-IN_76_1-J_70-2,TRUE_MISSING_SOURCE,missing_inlet_source,22,1,IN76.1,IN_76_1,inlet,C,false,,,J70,J_70,junction,B,true,B188,188,"IN76 TOP, IN76.1 LEFT, IN76.2 RIGHT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-22-IN_76_1-J_70-3,TRUE_MISSING_SOURCE,missing_inlet_source,22,1,IN76.1,IN_76_1,inlet,C,false,,,J70,J_70,junction,B,true,B188,188,"IN76 TOP, IN76.1 LEFT, IN76.2 RIGHT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-25-IN_75_4-J_68-1,TRUE_MISSING_SOURCE,missing_inlet_source,25,1,IN75.4,IN_75_4,inlet,C,false,,,J68,J_68,junction,B,true,B178,178,"IN75.3 LEFT, IN75.4 RIGHT",,FROM_NODE_MISSING_IN_HYDROLOGY,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-25-IN_75_4-J_68-2,TRUE_MISSING_SOURCE,missing_inlet_source,25,1,IN75.4,IN_75_4,inlet,C,false,,,J68,J_68,junction,B,true,B178,178,"IN75.3 LEFT, IN75.4 RIGHT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-25-IN_75_4-J_68-3,TRUE_MISSING_SOURCE,missing_inlet_source,25,1,IN75.4,IN_75_4,inlet,C,false,,,J68,J_68,junction,B,true,B178,178,"IN75.3 LEFT, IN75.4 RIGHT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-26-IN_75_5-J_68_1-1,TRUE_MISSING_SOURCE,missing_junction_source,26,1,IN75.5,IN_75_5,inlet,C,true,C181,181,J68.1,J_68_1,junction,B,false,,,"IN75.5 RIGHT, IN75.6 LEFT",,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-26-IN_75_5-J_68_1-2,TRUE_MISSING_SOURCE,missing_junction_source,26,1,IN75.5,IN_75_5,inlet,C,true,C181,181,J68.1,J_68_1,junction,B,false,,,"IN75.5 RIGHT, IN75.6 LEFT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-26-IN_75_5-J_68_1-3,TRUE_MISSING_SOURCE,missing_junction_source,26,1,IN75.5,IN_75_5,inlet,C,true,C181,181,J68.1,J_68_1,junction,B,false,,,"IN75.5 RIGHT, IN75.6 LEFT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-29-IN_75_1-J_65_2-1,TRUE_MISSING_SOURCE,missing_inlet_source,29,1,IN75.1,IN_75_1,inlet,C,false,,,J65.2,J_65_2,junction,B,true,B171,171,"IN75.1 LEFT, IN75.2 RIGHT",,FROM_NODE_MISSING_IN_HYDROLOGY,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-29-IN_75_1-J_65_2-2,TRUE_MISSING_SOURCE,missing_inlet_source,29,1,IN75.1,IN_75_1,inlet,C,false,,,J65.2,J_65_2,junction,B,true,B171,171,"IN75.1 LEFT, IN75.2 RIGHT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-29-IN_75_1-J_65_2-3,TRUE_MISSING_SOURCE,missing_inlet_source,29,1,IN75.1,IN_75_1,inlet,C,false,,,J65.2,J_65_2,junction,B,true,B171,171,"IN75.1 LEFT, IN75.2 RIGHT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-30-IN_74-J_65_1-1,TRUE_MISSING_SOURCE,missing_junction_source,30,1,IN74,IN_74,inlet,C,true,C165,165,J65.1,J_65_1,junction,B,false,,,"IN75 LEFT, IN74 RIGHT, J65 TOP",,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-30-IN_74-J_65_1-2,TRUE_MISSING_SOURCE,missing_junction_source,30,1,IN74,IN_74,inlet,C,true,C165,165,J65.1,J_65_1,junction,B,false,,,"IN75 LEFT, IN74 RIGHT, J65 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-30-IN_74-J_65_1-3,TRUE_MISSING_SOURCE,missing_junction_source,30,1,IN74,IN_74,inlet,C,true,C165,165,J65.1,J_65_1,junction,B,false,,,"IN75 LEFT, IN74 RIGHT, J65 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-30-IN_75-J_65_1-1,TRUE_MISSING_SOURCE,missing_junction_source,30,1,IN75,IN_75,inlet,C,true,C166,166,J65.1,J_65_1,junction,B,false,,,"IN75 LEFT, IN74 RIGHT, J65 TOP",,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-30-IN_75-J_65_1-2,TRUE_MISSING_SOURCE,missing_junction_source,30,1,IN75,IN_75,inlet,C,true,C166,166,J65.1,J_65_1,junction,B,false,,,"IN75 LEFT, IN74 RIGHT, J65 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-30-IN_75-J_65_1-3,TRUE_MISSING_SOURCE,missing_junction_source,30,1,IN75,IN_75,inlet,C,true,C166,166,J65.1,J_65_1,junction,B,false,,,"IN75 LEFT, IN74 RIGHT, J65 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-30-J_65-J_65_1-1,TRUE_MISSING_SOURCE,missing_junction_source,30,1,J65,J_65,junction,B,true,B164,164,J65.1,J_65_1,junction,B,false,,,"IN75 LEFT, IN74 RIGHT, J65 TOP",,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-30-J_65-J_65_1-2,TRUE_MISSING_SOURCE,missing_junction_source,30,1,J65,J_65,junction,B,true,B164,164,J65.1,J_65_1,junction,B,false,,,"IN75 LEFT, IN74 RIGHT, J65 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-90-IN_6-J_4_1-1,TRUE_MISSING_SOURCE,missing_junction_source,90,1,IN6,IN_6,inlet,C,true,C20,20,J4.1,J_4_1,junction,B,false,,,"IN6 RIGHT, IN6.1 TOP, IN7 LEFT","WARNING: DO NOT USE DATA FOR J4 IN THE HYDROLOGY TAB, USE J4.1 DATA AND IGNORE J4",NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-90-IN_6-J_4_1-2,TRUE_MISSING_SOURCE,missing_junction_source,90,1,IN6,IN_6,inlet,C,true,C20,20,J4.1,J_4_1,junction,B,false,,,"IN6 RIGHT, IN6.1 TOP, IN7 LEFT","WARNING: DO NOT USE DATA FOR J4 IN THE HYDROLOGY TAB, USE J4.1 DATA AND IGNORE J4",STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-90-IN_6-J_4_1-3,TRUE_MISSING_SOURCE,missing_junction_source,90,1,IN6,IN_6,inlet,C,true,C20,20,J4.1,J_4_1,junction,B,false,,,"IN6 RIGHT, IN6.1 TOP, IN7 LEFT","WARNING: DO NOT USE DATA FOR J4 IN THE HYDROLOGY TAB, USE J4.1 DATA AND IGNORE J4",STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-90-IN_6_1-J_4_1-1,TRUE_MISSING_SOURCE,missing_junction_source,90,1,IN6.1,IN_6_1,inlet,C,true,C21,21,J4.1,J_4_1,junction,B,false,,,"IN6 RIGHT, IN6.1 TOP, IN7 LEFT","WARNING: DO NOT USE DATA FOR J4 IN THE HYDROLOGY TAB, USE J4.1 DATA AND IGNORE J4",NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-90-IN_6_1-J_4_1-2,TRUE_MISSING_SOURCE,missing_junction_source,90,1,IN6.1,IN_6_1,inlet,C,true,C21,21,J4.1,J_4_1,junction,B,false,,,"IN6 RIGHT, IN6.1 TOP, IN7 LEFT","WARNING: DO NOT USE DATA FOR J4 IN THE HYDROLOGY TAB, USE J4.1 DATA AND IGNORE J4",STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-90-IN_7-J_4_1-1,TRUE_MISSING_SOURCE,missing_junction_source,90,1,IN7,IN_7,inlet,C,true,C22,22,J4.1,J_4_1,junction,B,false,,,"IN6 RIGHT, IN6.1 TOP, IN7 LEFT","WARNING: DO NOT USE DATA FOR J4 IN THE HYDROLOGY TAB, USE J4.1 DATA AND IGNORE J4",NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-90-IN_7-J_4_1-2,TRUE_MISSING_SOURCE,missing_junction_source,90,1,IN7,IN_7,inlet,C,true,C22,22,J4.1,J_4_1,junction,B,false,,,"IN6 RIGHT, IN6.1 TOP, IN7 LEFT","WARNING: DO NOT USE DATA FOR J4 IN THE HYDROLOGY TAB, USE J4.1 DATA AND IGNORE J4",STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-90-IN_7-J_4_1-3,TRUE_MISSING_SOURCE,missing_junction_source,90,1,IN7,IN_7,inlet,C,true,C22,22,J4.1,J_4_1,junction,B,false,,,"IN6 RIGHT, IN6.1 TOP, IN7 LEFT","WARNING: DO NOT USE DATA FOR J4 IN THE HYDROLOGY TAB, USE J4.1 DATA AND IGNORE J4",STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-127-IN_130_2-J_110_1-1,TRUE_MISSING_SOURCE,missing_inlet_source,127,2,IN130.2,IN_130_2,inlet,C,false,,,J110.1,J_110_1,junction,B,true,B411,411,"IN130.3 LEFT, IN130.2 RIGHT",,FROM_NODE_MISSING_IN_HYDROLOGY,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-127-IN_130_2-J_110_1-2,TRUE_MISSING_SOURCE,missing_inlet_source,127,2,IN130.2,IN_130_2,inlet,C,false,,,J110.1,J_110_1,junction,B,true,B411,411,"IN130.3 LEFT, IN130.2 RIGHT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-127-IN_130_2-J_110_1-3,TRUE_MISSING_SOURCE,missing_inlet_source,127,2,IN130.2,IN_130_2,inlet,C,false,,,J110.1,J_110_1,junction,B,true,B411,411,"IN130.3 LEFT, IN130.2 RIGHT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-127-IN_130_3-J_110_1-1,TRUE_MISSING_SOURCE,missing_inlet_source,127,2,IN130.3,IN_130_3,inlet,C,false,,,J110.1,J_110_1,junction,B,true,B411,411,"IN130.3 LEFT, IN130.2 RIGHT",,FROM_NODE_MISSING_IN_HYDROLOGY,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-127-IN_130_3-J_110_1-2,TRUE_MISSING_SOURCE,missing_inlet_source,127,2,IN130.3,IN_130_3,inlet,C,false,,,J110.1,J_110_1,junction,B,true,B411,411,"IN130.3 LEFT, IN130.2 RIGHT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-127-IN_130_3-J_110_1-3,TRUE_MISSING_SOURCE,missing_inlet_source,127,2,IN130.3,IN_130_3,inlet,C,false,,,J110.1,J_110_1,junction,B,true,B411,411,"IN130.3 LEFT, IN130.2 RIGHT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-130-IN_129_2-J_109_1-1,TRUE_MISSING_SOURCE,missing_inlet_source,130,2,IN129.2,IN_129_2,inlet,C,false,,,J109.1,J_109_1,junction,B,true,B403,403,"J108 TOP, IN129.2 RIGHT",,FROM_NODE_MISSING_IN_HYDROLOGY,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-130-IN_129_2-J_109_1-2,TRUE_MISSING_SOURCE,missing_inlet_source,130,2,IN129.2,IN_129_2,inlet,C,false,,,J109.1,J_109_1,junction,B,true,B403,403,"J108 TOP, IN129.2 RIGHT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-130-IN_129_2-J_109_1-3,TRUE_MISSING_SOURCE,missing_inlet_source,130,2,IN129.2,IN_129_2,inlet,C,false,,,J109.1,J_109_1,junction,B,true,B403,403,"J108 TOP, IN129.2 RIGHT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-133-IN_128_2-J_108_3-1,TRUE_MISSING_SOURCE,missing_inlet_source,133,2,IN128.2,IN_128_2,inlet,C,false,,,J108.3,J_108_3,junction,B,true,B396,396,"IN128.2 LEFT, J108.2 TOP",,FROM_NODE_MISSING_IN_HYDROLOGY,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-133-IN_128_2-J_108_3-2,TRUE_MISSING_SOURCE,missing_inlet_source,133,2,IN128.2,IN_128_2,inlet,C,false,,,J108.3,J_108_3,junction,B,true,B396,396,"IN128.2 LEFT, J108.2 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-133-IN_128_2-J_108_3-3,TRUE_MISSING_SOURCE,missing_inlet_source,133,2,IN128.2,IN_128_2,inlet,C,false,,,J108.3,J_108_3,junction,B,true,B396,396,"IN128.2 LEFT, J108.2 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-190-J_81_1-J_82-1,TRUE_MISSING_SOURCE,missing_junction_source,190,2,J81.1,J_81_1,junction,B,false,,,J82,J_82,junction,B,true,B250,250,"IN90 LEFT, IN91 RIGHT, J81.1 TOP",,FROM_NODE_MISSING_IN_HYDROLOGY,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-190-J_81_1-J_82-2,TRUE_MISSING_SOURCE,missing_junction_source,190,2,J81.1,J_81_1,junction,B,false,,,J82,J_82,junction,B,true,B250,250,"IN90 LEFT, IN91 RIGHT, J81.1 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-191-IN_89-J_81_1-1,TRUE_MISSING_SOURCE,missing_junction_source,191,2,IN89,IN_89,inlet,C,true,C246,246,J81.1,J_81_1,junction,B,false,,,"IN89 LEFT, J81 TOP",,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-191-IN_89-J_81_1-2,TRUE_MISSING_SOURCE,missing_junction_source,191,2,IN89,IN_89,inlet,C,true,C246,246,J81.1,J_81_1,junction,B,false,,,"IN89 LEFT, J81 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-191-IN_89-J_81_1-3,TRUE_MISSING_SOURCE,missing_junction_source,191,2,IN89,IN_89,inlet,C,true,C246,246,J81.1,J_81_1,junction,B,false,,,"IN89 LEFT, J81 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-191-J_81-J_81_1-1,TRUE_MISSING_SOURCE,missing_junction_source,191,2,J81,J_81,junction,B,true,B245,245,J81.1,J_81_1,junction,B,false,,,"IN89 LEFT, J81 TOP",,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-191-J_81-J_81_1-2,TRUE_MISSING_SOURCE,missing_junction_source,191,2,J81,J_81,junction,B,true,B245,245,J81.1,J_81_1,junction,B,false,,,"IN89 LEFT, J81 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-193-J_78_1-J_80-1,TRUE_MISSING_SOURCE,missing_junction_source,193,2,J78.1,J_78_1,junction,B,false,,,J80,J_80,junction,B,true,B242,242,"J79 RIGHT, J78.1 TOP",,FROM_NODE_MISSING_IN_HYDROLOGY,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-193-J_78_1-J_80-2,TRUE_MISSING_SOURCE,missing_junction_source,193,2,J78.1,J_78_1,junction,B,false,,,J80,J_80,junction,B,true,B242,242,"J79 RIGHT, J78.1 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-195-IN_84-J_78_1-1,TRUE_MISSING_SOURCE,missing_junction_source,195,2,IN84,IN_84,inlet,C,true,C236,236,J78.1,J_78_1,junction,B,false,,,"IN84 LEFT, J78 TOP",,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-195-IN_84-J_78_1-2,TRUE_MISSING_SOURCE,missing_junction_source,195,2,IN84,IN_84,inlet,C,true,C236,236,J78.1,J_78_1,junction,B,false,,,"IN84 LEFT, J78 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-195-IN_84-J_78_1-3,TRUE_MISSING_SOURCE,missing_junction_source,195,2,IN84,IN_84,inlet,C,true,C236,236,J78.1,J_78_1,junction,B,false,,,"IN84 LEFT, J78 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-195-J_78-J_78_1-1,TRUE_MISSING_SOURCE,missing_junction_source,195,2,J78,J_78,junction,B,true,B235,235,J78.1,J_78_1,junction,B,false,,,"IN84 LEFT, J78 TOP",,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-195-J_78-J_78_1-2,TRUE_MISSING_SOURCE,missing_junction_source,195,2,J78,J_78,junction,B,true,B235,235,J78.1,J_78_1,junction,B,false,,,"IN84 LEFT, J78 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-224-J_137_2-J_138-1,TRUE_MISSING_SOURCE,missing_junction_source,224,5,J137.2,J_137_2,junction,B,false,,,J138,J_138,junction,B,true,B530,530,"J137.2 TOP, IN168 RIGHT, IN167 LEFT",,FROM_NODE_MISSING_IN_HYDROLOGY,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-224-J_137_2-J_138-2,TRUE_MISSING_SOURCE,missing_junction_source,224,5,J137.2,J_137_2,junction,B,false,,,J138,J_138,junction,B,true,B530,530,"J137.2 TOP, IN168 RIGHT, IN167 LEFT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-225-J_136_9-J_137_2-1,TRUE_MISSING_SOURCE,missing_junction_source,225,5,J136.9,J_136_9,junction,B,true,B520,520,J137.2,J_137_2,junction,B,false,,,"J136.9 RIGHT, J137.1 TOP",,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-225-J_136_9-J_137_2-2,TRUE_MISSING_SOURCE,missing_junction_source,225,5,J136.9,J_136_9,junction,B,true,B520,520,J137.2,J_137_2,junction,B,false,,,"J136.9 RIGHT, J137.1 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-225-J_136_9-J_137_2-3,TRUE_MISSING_SOURCE,missing_junction_source,225,5,J136.9,J_136_9,junction,B,true,B520,520,J137.2,J_137_2,junction,B,false,,,"J136.9 RIGHT, J137.1 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-225-J_137_1-J_137_2-1,TRUE_MISSING_SOURCE,missing_junction_source,225,5,J137.1,J_137_1,junction,B,true,B526,526,J137.2,J_137_2,junction,B,false,,,"J136.9 RIGHT, J137.1 TOP",,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-225-J_137_1-J_137_2-2,TRUE_MISSING_SOURCE,missing_junction_source,225,5,J137.1,J_137_1,junction,B,true,B526,526,J137.2,J_137_2,junction,B,false,,,"J136.9 RIGHT, J137.1 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-228-J_136_7-J_136_9-1,TRUE_MISSING_SOURCE,missing_junction_source,228,5,J136.7,J_136_7,junction,B,false,,,J136.9,J_136_9,junction,B,true,B520,520,"J136.7 LEFT, J136.8 TOP",,FROM_NODE_MISSING_IN_HYDROLOGY,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-228-J_136_7-J_136_9-2,TRUE_MISSING_SOURCE,missing_junction_source,228,5,J136.7,J_136_7,junction,B,false,,,J136.9,J_136_9,junction,B,true,B520,520,"J136.7 LEFT, J136.8 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-228-J_136_7-J_136_9-3,TRUE_MISSING_SOURCE,missing_junction_source,228,5,J136.7,J_136_7,junction,B,false,,,J136.9,J_136_9,junction,B,true,B520,520,"J136.7 LEFT, J136.8 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-228-J_136_8-J_136_9-1,TRUE_MISSING_SOURCE,missing_junction_source,228,5,J136.8,J_136_8,junction,B,false,,,J136.9,J_136_9,junction,B,true,B520,520,"J136.7 LEFT, J136.8 TOP",,FROM_NODE_MISSING_IN_HYDROLOGY,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-228-J_136_8-J_136_9-2,TRUE_MISSING_SOURCE,missing_junction_source,228,5,J136.8,J_136_8,junction,B,false,,,J136.9,J_136_9,junction,B,true,B520,520,"J136.7 LEFT, J136.8 TOP",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
BLK-229-IN_165_8-J_136_8-1,TRUE_MISSING_SOURCE,missing_junction_source,229,5,IN165.8,IN_165_8,inlet,C,true,C517,517,J136.8,J_136_8,junction,B,false,,,"IN165.9 RIGHT, IN165.8 LEFT",,NORMALIZATION_MISMATCH,ADD_SOURCE_LOOKUP_OVERRIDE
BLK-229-IN_165_8-J_136_8-2,TRUE_MISSING_SOURCE,missing_junction_source,229,5,IN165.8,IN_165_8,inlet,C,true,C517,517,J136.8,J_136_8,junction,B,false,,,"IN165.9 RIGHT, IN165.8 LEFT",,STALE_DUPLICATE_BLOCKER_ENTRY,OTHER
